MAE,RMSE,masked_MAPE
0.08541882654844435,0.3730765724536837,0.027265991810976005
0.05548466650943673,0.31449665911184005,0.017274260840429722
0.09107955953040175,0.13070054004122567,0.01606069276021221
0.10499583755996686,0.14977603936317008,0.02540356641200911
0.10416950065009044,0.35258525944331526,0.022766630818672258
0.11708722841316697,0.46651351665788376,0.03270991521121516
0.1398820903364193,0.5658165261743475,0.04441322873043199
0.12828683593890242,0.5616339642035885,0.04151305409302673
0.1406336442450224,0.481201576344359,0.0359588760486177
0.1275570061529532,0.41808678026727275,0.035979838366995885
0.15951991155306033,0.4448025866540296,0.03555119179398485
0.13261620446586794,0.5299584505652216,0.02478586405186556
