MAE,RMSE,masked_MAPE
0.12746346085950064,0.4471254966708825,0.01641342917253732
0.11909658750280916,0.23944792945472,0.01453527435250147
0.12765289388476334,0.12723556715519047,0.01854411322113699
0.10226200708771604,0.2553459926666797,0.016597698675744756
0.09196883645359889,0.32522785030017004,0.012251046951208254
0.08860025300306744,0.2975567490976524,0.020927299204801554
0.056261365834771274,0.2503327033562947,0.020123841408528933
0.05009067948512754,0.22609474695257067,0.017200688921887777
0.055065454581235074,0.2584702715118268,0.015106146959154342
0.05675200936059832,0.2633149250137364,0.01639440112889507
0.04660614334034877,0.2534359962602795,0.02188473871961772
0.03406753066424177,0.32088546431108733,0.015612700877407631
