MAE,RMSE,masked_MAPE
0.034917811327677545,0.1392702621181945,0.021270746086598694
0.044715154513496946,0.19299416006329914,0.016740153556598195
0.04277264282297281,0.2163120144745529,0.007891412119072145
0.04635828908223183,0.19367508012833176,0.007014058351835223
0.07765337444936708,0.2954152478715722,0.007226758619212937
0.08755797576540292,0.5592510055417461,0.012783284424647453
0.12266736619509852,1.1442013891124054,0.01032484899486282
0.14862081578819528,1.5012966419508023,0.007429365754515447
0.18922931180312036,1.762309812151754,0.010461177013725889
0.1733099860460947,1.594185998196437,0.012084651432996783
0.14658453377791175,1.2305936291184034,0.008460381609432912
0.15282435893187601,0.9790181073628254,0.016250338795859767
