MAE,RMSE,masked_MAPE
0.07368096033068101,0.3674557493327452,0.01268599124276796
0.05716976635235752,0.12199674355370707,0.011227386626742853
0.0670032641351753,0.15967569346363328,0.009505491292967539
0.0840956146667389,0.3315533617635338,0.011238835442904778
0.10358715607951176,0.549661050247761,0.011304853210508023
0.0987660590536303,0.8095589118061106,0.0108613742047398
0.13255229550349729,0.8842854155515127,0.014819109700913283
0.11167412584216675,0.7872277315635169,0.008288910968970987
0.10323079216526115,0.5554882504841469,0.008078003199646138
0.08686084153936707,0.40262314696930795,0.011343784832659685
0.07741363484810457,0.4516642287101342,0.011064066779136602
0.06738519103755296,0.5441255245302968,0.007282461423375807
