MAE,RMSE
0.009459607999804585,0.01954265046133435
0.009733996091032912,0.0283248437518697
0.010684321953572858,0.030940626073117816
0.011449402230103859,0.03748075315410738
0.007293946446319621,0.043305886525495524
0.006368335576769797,0.04107652868805407
0.010010792176219953,0.04559612445826708
0.01081970703407256,0.04136569833336468
0.012234504073930594,0.04792831734075622
0.01388452490689371,0.052239470636926744
0.017037397253155426,0.05397723324243372
0.01853016213635705,0.05490577067072075
