MAE,RMSE,masked_MAPE
0.3966630697250366,1.625800609588623,0.0003199279308319092
0.26132988929748535,2.1186141967773438,0.032981812953948975
0.21989655494689941,2.2835493087768555,0.018223315477371216
0.3444821834564209,2.797604560852051,0.047346532344818115
0.4801027774810791,3.461808204650879,0.03832000494003296
0.49245548248291016,3.534280776977539,0.011071979999542236
0.5187304019927979,3.8437252044677734,0.04113885760307312
0.611487865447998,4.055488586425781,0.05775326490402222
0.6490213871002197,4.24062442779541,0.001323401927947998
0.6977994441986084,4.394064903259277,0.031861335039138794
0.73016357421875,4.420230865478516,0.039966195821762085
0.7721889019012451,4.561007499694824,0.03709182143211365
