2024-04-19 16:00:32 INFO     Saving logs in: ./logs\CHI\04_19\CP_16_00_32
2024-04-19 16:00:33 INFO     	 (140602, 26, 140602)
2024-04-19 16:00:33 INFO     Total number of parameters 4781300
2024-04-19 16:00:33 INFO     	 Start training
2024-04-19 16:00:41 INFO     	 Epoch 0 | average train loss: 0.6916
2024-04-19 16:00:41 INFO     	 Epoch 0 | average valid loss: 0.6844
2024-04-19 16:00:48 INFO     	 Epoch 1 | average train loss: 0.4548
2024-04-19 16:00:48 INFO     	 Epoch 1 | average valid loss: 0.3267
2024-04-19 16:00:55 INFO     	 Epoch 2 | average train loss: 0.1741
2024-04-19 16:00:55 INFO     	 Epoch 2 | average valid loss: 0.1255
2024-04-19 16:01:32 INFO     	 valid MR: 53912.11 | MRR: 0.061 | H@1: 0.030 | H@3: 0.071 | H@10: 0.117
2024-04-19 16:01:32 INFO     	 Saving model at epoch 2 in ./logs\CHI\04_19\CP_16_00_32
2024-04-19 16:01:39 INFO     	 Epoch 3 | average train loss: 0.0981
2024-04-19 16:01:39 INFO     	 Epoch 3 | average valid loss: 0.0616
2024-04-19 16:01:47 INFO     	 Epoch 4 | average train loss: 0.0748
2024-04-19 16:01:47 INFO     	 Epoch 4 | average valid loss: 0.0413
2024-04-19 16:01:54 INFO     	 Epoch 5 | average train loss: 0.0671
2024-04-19 16:01:54 INFO     	 Epoch 5 | average valid loss: 0.0346
2024-04-19 16:02:31 INFO     	 valid MR: 42970.22 | MRR: 0.120 | H@1: 0.070 | H@3: 0.132 | H@10: 0.238
2024-04-19 16:02:31 INFO     	 Saving model at epoch 5 in ./logs\CHI\04_19\CP_16_00_32
2024-04-19 16:02:38 INFO     	 Epoch 6 | average train loss: 0.0637
2024-04-19 16:02:38 INFO     	 Epoch 6 | average valid loss: 0.0317
2024-04-19 16:02:46 INFO     	 Epoch 7 | average train loss: 0.0615
2024-04-19 16:02:46 INFO     	 Epoch 7 | average valid loss: 0.0302
2024-04-19 16:02:53 INFO     	 Epoch 8 | average train loss: 0.0596
2024-04-19 16:02:53 INFO     	 Epoch 8 | average valid loss: 0.0292
2024-04-19 16:03:31 INFO     	 valid MR: 32160.73 | MRR: 0.128 | H@1: 0.070 | H@3: 0.159 | H@10: 0.237
2024-04-19 16:03:31 INFO     	 Saving model at epoch 8 in ./logs\CHI\04_19\CP_16_00_32
2024-04-19 16:03:38 INFO     	 Epoch 9 | average train loss: 0.0579
2024-04-19 16:03:38 INFO     	 Epoch 9 | average valid loss: 0.0283
2024-04-19 16:03:45 INFO     	 Epoch 10 | average train loss: 0.0566
2024-04-19 16:03:45 INFO     	 Epoch 10 | average valid loss: 0.0279
2024-04-19 16:03:52 INFO     	 Epoch 11 | average train loss: 0.0557
2024-04-19 16:03:52 INFO     	 Epoch 11 | average valid loss: 0.0274
2024-04-19 16:04:32 INFO     	 valid MR: 28440.10 | MRR: 0.130 | H@1: 0.075 | H@3: 0.157 | H@10: 0.243
2024-04-19 16:04:32 INFO     	 Saving model at epoch 11 in ./logs\CHI\04_19\CP_16_00_32
2024-04-19 16:04:40 INFO     	 Epoch 12 | average train loss: 0.0549
2024-04-19 16:04:40 INFO     	 Epoch 12 | average valid loss: 0.0270
2024-04-19 16:04:47 INFO     	 Epoch 13 | average train loss: 0.0542
2024-04-19 16:04:47 INFO     	 Epoch 13 | average valid loss: 0.0266
2024-04-19 16:04:55 INFO     	 Epoch 14 | average train loss: 0.0536
2024-04-19 16:04:55 INFO     	 Epoch 14 | average valid loss: 0.0263
2024-04-19 16:05:35 INFO     	 valid MR: 27211.89 | MRR: 0.138 | H@1: 0.085 | H@3: 0.168 | H@10: 0.251
2024-04-19 16:05:35 INFO     	 Saving model at epoch 14 in ./logs\CHI\04_19\CP_16_00_32
2024-04-19 16:05:42 INFO     	 Epoch 15 | average train loss: 0.0530
