MAE,RMSE,masked_MAPE
0.09600457155097233,0.3544788722455843,0.02774952456767895
0.09730656492956752,0.24373143682399928,0.029687067720631632
0.07701083760654318,0.16129288711445006,0.025893608993168456
0.09110967906274302,0.3457785040005739,0.025305339770412646
0.10319630772848118,0.3913762546642005,0.02921936223998962
0.10351246912805268,0.462624375533851,0.031666084668303326
0.07500684518321393,0.5616468673843812,0.027329490727934332
0.05849198205790397,0.6405456067293032,0.026294628938585807
0.05906305485325648,0.5967558920967103,0.027985150834762797
0.05658822137229725,0.5057334991914021,0.03208923990133361
0.065565007508355,0.4559008593923508,0.026425630118198568
0.09465701520984976,0.5120965614675091,0.03334212432868114
