MAE,RMSE,masked_MAPE
0.11562937306948616,0.4486225033442117,0.018137237930770503
0.09081221420834355,0.2965155828458166,0.014273455428503863
0.08509765845665626,0.21089370922621276,0.008772983093481002
0.13123247284853065,0.34956901565557186,0.010854958031879473
0.13402399123421246,0.5869052317040094,0.016395712722466597
0.18285348266296908,1.0029423175901822,0.01703946293493912
0.19717378576789868,1.2999569456806979,0.019662210823946886
0.20480939481260668,1.3867104566608228,0.01779647030661583
0.19676949694980456,1.194255505987901,0.020618335448181174
0.1582730432256238,0.9215153467801632,0.0207846731341143
0.15794983176679656,0.7641949918578852,0.013934256968278543
0.11422401679239147,0.6661657792154542,0.017645243039220285
