MAE,RMSE,masked_MAPE
0.05475118663872197,0.4368159681055667,0.009422107144052613
0.06785347061502621,0.3065201449681736,0.013578172331898532
0.05690986466537797,0.1473401894029578,0.011524328712091069
0.06475291611431919,0.1367657924421872,0.015041625232372373
0.08677063839992129,0.16746517800567598,0.015494210863836013
0.08982175711395826,0.23477070227186334,0.015947088045002743
0.12007350793184678,0.32662474545954484,0.021853709012309867
0.13840014321127464,0.43438108899029554,0.016722317291472607
0.16144084825888297,0.427352474358305,0.020177946160692982
0.14205827328342216,0.36015751131502516,0.02206237691705434
0.11628074134279541,0.34529552352762205,0.014634435943319988
0.135567115942151,0.37597662206187177,0.03140293645417731
