MAE,RMSE,masked_MAPE
0.0683177798265369,0.13268152935895214,0.017182556224372893
0.05697313180013033,0.18276620088194317,0.016351426358270683
0.0770274751389301,0.18742979354769976,0.010110686832407869
0.07065122548438516,0.2397308413744594,0.009615560024929205
0.08567064794397028,0.536111615261131,0.010775715017468209
0.07249116229342865,0.7532514701715961,0.01053862509316586
0.12865549421261283,1.0172261201249668,0.008330295670197713
0.1461545734723016,1.172132498869326,0.010652668284664038
0.13930142157144373,1.2048005116943972,0.01595414388333097
0.12747960094372973,1.1915697740218003,0.01641958191544791
0.12683448033139205,0.9751380535688119,0.012300533380300252
0.07724263321123798,0.7831061570622344,0.0140501751284469
